Sample	salmon-percent_mapped	salmon-num_mapped	salmon-library_types	salmon-compatible_fragment_ratio	salmon-strand_mapping_bias	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving_reads	fastp-pct_surviving_bases	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Tconv_KO_1	49.61329283643957	4.003181	U	100.0	0.4921225883189649	67.0326	98.20360000000001	400.34399199999996	8.068767	50.3703	99.94887830807639	99.01623174257644	4.001390331645628	51.0	68.09944936610191	50.0	50.52410696702483	51	27.27272727272727	8.068767
Tconv_KO_2	60.12687253046671	5.100185	U	100.0	0.48728233855709374	63.336400000000005	98.3158	423.095415	8.482372	50.6714	99.96709550929127	99.44538213646645	2.3499958280122812	51.0	64.5096570312073	50.0	50.73383860080647	51	27.27272727272727	8.482372
Tconv_KO_3	66.34259699016779	8.374225	U	100.0	0.4858338158115907	67.0589	98.45230000000001	631.4848539999999	12.622696999999999	50.9101	99.97582717666889	99.61151285547729	1.7045404593422537	51.0	68.19606214868077	50.0	50.814154772153685	51	27.27272727272727	12.622696999999999
Tconv_WT_1	54.70572335770522	5.037611	U	100.0	0.4896114627042048	64.8573	98.3148	458.236319	9.208563	50.6837	99.9585557740176	99.20380890822096	3.315277559623294	51.0	65.8884206018231	50.0	50.614919504813074	51	27.27272727272727	9.208563
Tconv_WT_2	55.66552999575667	5.18569	U	100.0	0.4888651590343348	64.432	98.2989	463.286831	9.315801	50.627100000000006	99.9575203653313	99.157652507083	3.4996609354747332	51.0	65.44643847329893	50.0	50.5918940303684	51	27.27272727272727	9.315801
Tconv_WT_3	61.66209173556876	7.168635	U	100.0	0.4882685517826643	65.3967	98.3197	581.106312	11.625676	50.40989999999999	99.96951644482463	99.65386230387179	1.4795316040515527	51.0	66.44518898258985	50.0	50.83896729962198	51	27.27272727272727	11.625676
Treg_KO_1	63.78896641061007	5.70237	U	100.0	0.48864324860880926	61.770199999999996	98.4452	446.45483099999996	8.93943	51.1234	99.97323811934099	99.44582472109971	2.4010763800625443	51.0	62.717224878239065	51.0	50.730947163297884	51	27.27272727272727	8.93943
Treg_KO_2	63.28950897580673	5.903834	U	100.0	0.4870866498371883	63.2704	98.4232	466.81507799999997	9.328298	51.1931	99.97382844233148	99.6692234275011	1.4379138203400803	51.0	64.20866041854518	51.0	50.844610774655784	51	27.27272727272727	9.328298
Treg_KO_3	65.1700512967451	8.188063	U	100.0	0.48661386975671833	64.551	98.3968	628.334479	12.56415	50.903299999999994	99.97321666429548	99.63004403965108	1.6166997519637134	51.0	65.49360825276052	50.0	50.824935073204315	51	27.27272727272727	12.56415
Treg_WT_1	62.71688291200049	6.217637	U	100.0	0.4897813236998841	61.7155	98.40520000000001	494.08021499999995	9.913817	50.7449	99.96689556422744	99.27147721276044	3.095491625576025	51.0	62.543471581100924	50.0	50.6452191925673	51	27.27272727272727	9.913817
Treg_WT_2	59.666275187508475	5.030117	U	100.0	0.49095497741201244	60.899499999999996	98.2779	417.48376299999995	8.430418999999999	50.239999999999995	99.9524686202787	98.75477218920767	5.1378587854446085	51.0	61.9486305892409	50.0	50.388884348452905	51	27.27272727272727	8.430418999999999
Treg_WT_3	60.56045587417547	5.22324	U	100.0	0.48904166494201634	64.1472	98.2212	430.962245	8.624836	51.19089999999999	99.972169537014	99.72229629413512	1.2075013124132328	51.0	64.93521033637084	51.0	50.872529170409734	51	27.27272727272727	8.624836
